i,j,x_upper,y_upper,x_lower,y_lower
0,2,2825.11,1187.34,2829.63,1169.21
0,2,2828.2,1187.85,2832.59,1170.21
0,2,2831.26,1188.34,2835.53,1171.21
0,2,2834.31,1188.83,2838.45,1172.21
0,2,2837.33,1189.3,2841.33,1173.21
0,2,2840.32,1189.76,2844.19,1174.2
0,2,2843.28,1190.21,2847.02,1175.19
0,2,2846.21,1190.65,2849.81,1176.17
0,2,2849.1,1191.08,2852.56,1177.15
0,2,2851.94,1191.5,2855.28,1178.12
0,2,2854.75,1191.9,2857.94,1179.08
0,2,2857.51,1192.29,2860.56,1180.03
0,2,2860.22,1192.67,2863.14,1180.96
0,2,2862.88,1193.04,2865.66,1181.88
0,2,2865.49,1193.4,2868.13,1182.79
0,2,2868.03,1193.74,2870.54,1183.68
0,2,2870.52,1194.07,2872.89,1184.55
0,2,2872.95,1194.39,2875.18,1185.41
0,2,2875.31,1194.7,2877.41,1186.24
0,2,2877.6,1194.99,2879.58,1187.06
0,2,2879.82,1195.28,2881.67,1187.85
0,2,2881.98,1195.55,2883.7,1188.62
0,2,2884.05,1195.8,2885.65,1189.37
0,2,2886.05,1196.05,2887.54,1190.09
0,2,2887.98,1196.28,2889.34,1190.79
0,2,2889.82,1196.5,2891.07,1191.46
0,2,2891.58,1196.71,2892.73,1192.1
0,2,2893.25,1196.91,2894.3,1192.71
0,2,2894.84,1197.09,2895.79,1193.29
0,2,2896.34,1197.26,2897.19,1193.85
0,2,2897.76,1197.42,2898.52,1194.37
0,2,2899.08,1197.57,2899.75,1194.85
0,2,2900.31,1197.71,2900.9,1195.31
0,2,2901.44,1197.83,2901.97,1195.73
0,2,2902.48,1197.95,2902.94,1196.12
0,2,2903.43,1198.05,2903.82,1196.47
0,2,2904.28,1198.14,2904.61,1196.79
0,2,2905.03,1198.22,2905.32,1197.07
0,2,2905.68,1198.29,2905.92,1197.31
0,2,2906.23,1198.35,2906.44,1197.52
0,2,2906.69,1198.4,2906.86,1197.69
0,2,2907.04,1198.44,2907.19,1197.82
0,2,2907.29,1198.46,2907.43,1197.92
0,2,2907.45,1198.48,2907.57,1197.98
0,2,2907.5,1198.48,2907.62,1197.99
0,3,3213.62,1149.39,3213.62,1149.39
0,3,3213.52,1149.95,3213.81,1148.86
0,3,3213.53,1150.52,3214.09,1148.36
0,3,3213.64,1151.11,3214.47,1147.9
0,3,3213.84,1151.72,3214.95,1147.47
